Species	18393_Gobero_DC2_QG	18393p_Gobero_DC2_PB	18393PB_SSL	18393QG_SSL	18398_Gobero_DC3_QG	18398p_Gobero_DC3_PB	18398PB_SSL	18398QG_SSL	18400_Gobero_DC1_QG	18400p_Gobero_DC1_PB	18400PB_SSL	18400QG_SSL	18416_Hungary4	18416p_Hungary4_PB	18416PB_SSL	18416QG_SSL	18421_Hungary11	18421p_Hungary11_PB	18421PB_SSL	18421QG_SSL	18427_Hungary7	18427p_Hungary7_PB	18427PB_SSL	18427QG_SSL	18447PB_SSL	18447QG_SSL	18448PB_SSL	18448QG_SSL	18698QG_SSL	18699QG_SSL	19105PB_SSL	19106PB_SSL	A15856PB_SSL	A15858PB_SSL
Acinetobacter_sp._WCHAc010034	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter_aphrophilus	0	0	0	0	0	0	177	113	0	0	0	0	0	0	0	0	0	0	0	0	0	21615	226828	3355	0	0	0	0	0	0	351	0	0	0
Aggregatibacter_segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3220	1648	17409	416	0	0	0	0	0	0	0	0	0	0
Azotobacter_chroococcum	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_aeruginosa	13	144	0	0	77	30	0	0	440	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_alcaligenes	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_mendocina	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_composti	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_fluorescens	0	0	0	0	65	0	0	0	0	15	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_putida	37	227	0	0	0	65	0	0	111	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_stutzeri	11	97	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_syringae	0	135	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_sp._HMSC08G10	58	1110	0	0	0	171	0	0	77	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio_genomosp._F10	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas_maltophilia	18	562	0	0	0	56	0	0	110	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermomonas_fusca	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermomonas_hydrothermalis	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas_campestris	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas_fragariae	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_sp._2742-308	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paludisphaera_borealis	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planctomyces_sp._SH-PL14	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opitutus_terrae	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobium_spinosum	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema_denticola	0	0	0	781	0	0	85	216	0	0	0	178	1532	856	14556	58982	4377	1657	25281	30590	7975	1057	14282	832	2	27799	5548	0	273	0	0	0	1307	0
Treponema_maltophilum	0	0	2	0	0	0	0	0	0	0	0	0	0	477	0	0	1800	742	5618	6863	5120	1179	0	0	1	0	0	0	0	0	0	0	0	0
Treponema_socranskii	0	0	0	1115	0	0	0	0	0	0	0	0	827	903	6816	17433	2994	1036	6621	10770	4537	738	0	0	1	10923	4953	4781	0	0	0	0	0	0
Aminomonas_paucivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacillus_porcorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1284	0	0	0	0	0	0	0	0	0	0	0	0	0
Fretibacterium_fastidiosum	0	0	18	2710	0	0	171	471	0	0	347	483	12882	9649	38867	130088	20657	15566	59352	46548	15583	2673	0	488	5	62723	20498	11665	758	336	421	1454	2769	3877
Actinomyces_dentalis	0	0	10	3738	0	0	181	466	0	0	352	561	23433	3657	12746	152504	54852	21302	69654	83014	23443	5797	16152	851	9	68202	25005	17156	975	361	494	8729	10014	195223
Actinomyces_gerencseriae	0	0	0	0	0	0	0	0	0	0	0	0	1101	0	0	0	1661	686	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	19318
Actinomyces_glycerinitolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1657	452	0	0	0	570	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_israelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	895	0	0	0	965	0	0	0	0	4210	13574	0	1	0	0	0	0	0	0	0	0	0
Actinomyces_oris	0	0	0	0	0	0	0	183	0	0	0	0	13119	1947	8948	132140	1750	0	0	0	2216	7059	26796	0	1	13171	0	0	352	0	0	0	0	9543
Actinomyces_provencensis	0	0	0	0	0	0	0	0	0	0	0	0	803	0	0	0	1116	0	0	0	0	0	0	0	1	14514	0	0	0	0	0	0	0	0
Actinomyces_radicidentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1252	2459	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_urogenitalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_sp._oral_taxon_170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1429	0	0	2	0	0	0	0	0	0	0	0	0
Actinomyces_sp._oral_taxon_414	0	0	25	11671	0	0	449	1314	0	0	1004	1394	62637	8432	28815	380990	150735	51815	165741	221668	66160	17357	46883	2282	3	180224	66588	49220	2394	1080	1259	20368	21419	403934
Actinomyces_sp._oral_taxon_848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9708	0	0	0	0	0	0	0	0
Schaalia_cardiffensis	0	0	0	2499	0	0	80	294	0	0	0	323	16765	2284	7460	101353	7133	1142	0	8428	8644	784	0	0	6	95662	5582	9528	555	0	0	0	1505	0
Schaalia_georgiae	0	0	0	0	0	0	0	0	0	0	0	0	1925	0	0	0	971	0	0	0	0	0	0	0	0	12165	0	0	0	0	0	0	0	0
Schaalia_meyeri	0	0	0	0	0	0	0	0	0	0	0	0	3409	611	0	26912	2377	2084	11405	5984	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schaalia_odontolytica	0	0	0	0	0	0	0	0	0	0	0	0	930	0	0	0	1019	0	0	0	2754	2650	0	0	0	9370	0	0	0	0	0	0	0	0
Schaalia_turicensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10992	0	0	0	0	0	0	0	0
Corynebacterium_casei	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_durum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1398	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_matruchotii	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	3427	6066	34184	692	5	0	0	0	0	0	0	0	0	0
Mycobacterium_gordonae	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycolicibacterium_flavescens	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycolicibacterium_fortuitum	13	0	0	0	0	3024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetrasphaera_sp._Soil756	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leifsonia_aquatica	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leifsonia_sp._Leaf325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Arthrobacter_sp._35W	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter_sp._MA-N2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus_luteus	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenarthrobacter_nicotinovorans	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia_aeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cellulosimicrobium_sp._TH-20	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marmoricola_sp._Leaf446	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides_dokdonensis	18	0	0	0	0	27	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides_sp._CF8	64	52	0	0	0	53	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides_sp._Leaf307	12	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides_sp._Root122	0	0	0	0	0	19	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides_sp._Soil777	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides_sp._Soil805	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides_sp._URHA0020	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides_sp._URHA0032	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pimelobacter_simplex	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium_acnes	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium_freudenreichii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	2455	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium_sp._oral_taxon_192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	654	0	0	4057	1313	0	0	0	0	0	0	0	0	0	0	0	0
Sporichthya_polymorpha	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Embleya_scabrispora	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces_flavidovirens	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces_rimosus	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces_sp._CNH099	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olsenella_uli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6686	0
Olsenella_sp._HMSC062G07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Olsenella_sp._oral_taxon_807	0	0	54	29651	0	0	429	1469	0	0	1015	1874	34558	12035	49697	322613	170304	9047	38586	359257	103907	13269	49077	3642	38	314097	118036	129371	3443	1376	1875	12496	9360	95916
Senegalimassilia_anaerobia	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Berryella_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1565	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slackia_exigua	0	0	0	0	0	0	0	0	0	0	0	0	894	494	0	0	1556	477	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Slackia_heliotrinireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rubrobacter_xylanophilus	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conexibacter_woesei	0	0	0	0	0	0	0	0	71	0	0	0	1851	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerolineaceae_bacterium_oral_taxon_439	0	0	56	23343	0	0	980	2721	0	0	1898	3107	102976	36857	171612	725852	247113	72423	324769	452564	69133	2991	11245	2187	71	473039	131857	98131	4920	1962	2257	11994	49628	86639
Calothrix_sp._PCC_7507	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nostoc_sp._PCC_7120_=_FACHB-418	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geitlerinema_sp._PCC_7407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Leptolyngbya_boryana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Synechococcus_sp._PCC_6312	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus_aquatilis	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermus_scotoductus	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alicyclobacillus_acidocaldarius	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_obstructivus	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_licheniformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Edaphobacillus_lindanitolerans	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Priestia_aryabhattai	0	0	9	0	0	0	319	132	0	0	7533	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10505	16702	13865	23684	4065	14967
Brevibacillus_laterosporus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2206	0	0
Abiotrophia_defectiva	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1744	25021	419	0	0	0	0	0	0	0	0	0	0
Abiotrophia_sp._HMSC24B09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1214	3054	30553	544	0	0	0	0	0	0	0	0	0	0
Granulicatella_elegans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Enterococcus_faecalis	17	5218	0	0	866	99	0	0	373	9660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	2096	0	0
Enterococcus_faecium	3598	4190	0	0	49318	1561	0	0	6809	1428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130870	0	0
Enterococcus_mundtii	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lentilactobacillus_kisonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Streptococcus_anginosus	0	0	0	0	0	0	0	0	0	0	0	0	1376	322	0	38281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_constellatus	0	0	0	0	0	0	34	0	0	0	0	0	1923	417	0	36394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_intermedius	0	0	0	0	0	0	0	153	0	0	0	0	2306	0	0	58729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_cristatus	0	0	0	0	0	0	45	0	0	0	0	0	1822	0	0	39040	0	0	0	0	9192	2252	24636	1158	0	0	0	0	0	0	0	0	0	0
Streptococcus_gordonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1999	1234	22281	575	0	0	0	0	0	0	0	0	0	0
Streptococcus_oralis	0	0	0	0	0	0	0	0	0	0	0	0	870	0	0	34487	0	0	0	0	11142	7306	102715	2477	0	0	0	0	0	0	0	0	0	0
Streptococcus_pneumoniae	0	124	0	0	0	0	44	0	83	30	0	0	0	0	0	0	0	0	0	0	2269	661	11469	395	0	0	0	0	0	0	0	0	0	0
Streptococcus_sanguinis	0	0	0	0	0	0	393	533	0	0	373	323	4812	0	0	87098	1925	0	0	6587	22084	33012	456101	8482	5	0	0	0	575	0	785	1476	1276	0
Streptococcus_sp._DD04	0	0	4	0	0	0	498	1436	0	0	631	948	35139	0	0	600838	4891	1358	12910	18992	170578	30316	299100	13333	3	0	0	0	2059	851	897	2390	1642	0
Streptococcus_sp._HMSC063B03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium_aceticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium_collagenovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium_intestinale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium_neonatale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium_sp._Marseille-P2415	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium_sp._SY8519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pseudoramibacter_alactolyticus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eubacterium_brachy	0	0	0	0	0	0	0	0	0	0	0	0	0	398	6630	17952	0	431	5252	0	1192	0	0	0	2	14448	0	0	0	0	0	0	0	0
Eubacterium_infirmum	0	0	0	0	0	0	0	0	0	0	0	0	747	0	0	0	0	462	4707	0	1249	0	0	0	0	12145	0	0	0	0	0	0	0	0
Eubacterium_saphenum	0	0	2	971	0	0	194	427	0	0	0	433	12200	5098	51276	182424	13312	4473	39120	39348	2871	0	0	0	4	52606	10493	3620	674	332	304	0	10700	4870
Eubacterium_sulci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Anaerovorax_odorimutans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Blautia_producta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Catonella_morbi	0	0	3	0	0	0	48	0	0	0	0	0	782	0	0	22478	1180	398	0	5862	3453	668	10740	389	0	0	0	0	0	0	0	0	0	0
Coprococcus_eutactus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Johnsonella_ignava	0	0	0	0	0	0	61	90	0	0	0	122	4914	783	7881	46977	7411	1006	9638	14553	2258	0	0	309	1	13192	0	0	0	0	0	0	0	10506
Lachnoanaerobaculum_saburreum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1461	0	0	0	1	0	0	0	0	0	0	0	0	0
Lachnoanaerobaculum_sp._OBRC5-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1224	0	0	0	0	0	0	0	0	0	0	0	0	0
Oribacterium_sp._oral_taxon_078	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Stomatobaculum_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Lachnospiraceae_bacterium_oral_taxon_500	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1253	537	0	0	0	0	0	0	0	0	0	0	0	0
Desulfosporosinus_orientis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Filifactor_alocis	0	0	0	0	0	0	66	337	0	0	0	264	2406	2405	45273	75739	1971	1193	21571	14803	1536	0	0	0	3	37676	5562	0	328	0	0	0	1595	0
Peptoanaerobacter_stomatis	0	0	2	0	0	0	0	0	0	0	0	0	790	451	7556	0	0	0	0	0	0	0	0	0	0	9639	0	0	0	0	0	0	0	0
Terrisporobacter_glycolicus	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptostreptococcaceae_bacterium_oral_taxon_113	0	0	19	3655	0	0	645	2581	0	0	1201	1977	45642	29229	343835	928407	37028	13596	166778	178235	6947	0	0	957	2	104976	28978	13088	3810	1635	1326	4552	13328	6240
Thermoanaerobacterium_xylanolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eggerthia_catenaformis	0	0	2	799	0	0	39	111	0	0	0	0	1004	542	7383	19213	1549	992	9978	5364	0	0	0	0	3	21183	5833	3368	0	0	0	0	1268	0
Traorella_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Selenomonas_sputigena	0	0	0	0	0	0	0	0	0	0	0	0	829	0	0	0	1659	0	0	0	8241	1593	0	323	1	0	0	0	0	0	0	0	0	0
Selenomonas_sp._oral_taxon_892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	971	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas_sp._oral_taxon_920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Dialister_invisus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Anaerococcus_lactolyticus	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvimonas_micra	0	0	7	803	0	0	280	1036	0	0	454	823	9681	2302	48662	424435	1229	780	20111	10138	2681	0	0	388	2	19935	5616	0	1654	510	521	2177	2105	13347
Peptoniphilus_sp._oral_taxon_386	0	0	0	0	0	0	0	0	0	0	0	0	1093	642	9411	24097	0	340	5290	0	1303	0	0	0	0	13636	0	0	0	0	0	0	1230	0
Mycoplasma_feriruminatoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Methanobrevibacter_arboriphilus	0	0	5	4270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2451	0	0	0	0	0	23446	18281	0	0	0	0	0	0
Methanobrevibacter_millerae	0	0	12	7057	0	0	58	214	0	0	0	347	0	0	0	0	0	0	0	0	6069	0	0	363	2	34879	40539	31997	520	0	262	1308	2205	0
Methanobrevibacter_olleyae	0	0	9	4701	0	0	39	155	0	0	0	0	0	0	0	0	0	0	0	0	3432	0	0	0	1	11595	29184	22369	335	0	0	1400	1376	0
